pos_x_1m_normalized	pos_y_1m_normalized	blink_bool	pupil_diameter_100nm	interesting_point_value
				
				
				
				
443279	565765	1	246049	0
443152	564398	1	246286	0
443397	564329	1	243306	0
442922	565003	1	243459	0
442461	565993	1	242206	0
442091	566037	1	246019	0
442130	566542	1	245497	0
442398	566605	1	246121	0
442319	566407	1	246085	0
442273	566334	1	244139	0
439295	566079	1	248584	0
436809	565636	1	254053	0
434409	564602	1	257985	0
432105	564369	1	256723	0
430035	563869	1	260087	0
427641	563150	1	262847	0
424708	560224	1	260829	0
421771	556555	1	263545	0
419016	552932	1	268402	0
416242	548874	1	264909	0
413707	544984	1	263963	0
411577	541460	1	264124	0
409422	537776	1	260071	0
407385	534401	1	259028	0
405982	530833	1	260094	0
404301	527568	1	256812	0
402252	524700	1	252717	0
400706	521459	1	252246	0
399083	518627	1	251642	0
397505	515670	1	247708	0
396156	513031	1	246007	0
394724	510599	1	250674	0
393226	508375	1	250399	0
392011	505818	1	250244	0
392907	503089	1	250644	0
394338	499438	1	253947	0
395566	496350	1	251698	0
396955	493914	1	248757	0
397910	491167	1	251510	0
399025	488319	1	250294	0
400418	486178	1	254177	0
401826	484286	1	253300	0
403582	482316	1	249523	0
404644	481030	1	252874	0
405998	479638	1	252304	0
407238	478591	1	252864	0
407974	477793	1	251633	0
409006	477125	1	250087	0
410030	476595	1	249404	0
410289	475882	1	252142	0
408668	476422	1	255508	0
406848	477033	1	252784	0
404839	477782	1	253629	0
402875	478737	1	252985	0
401198	479252	1	255929	0
399280	480011	1	254154	0
397476	480890	1	254600	0
395683	481737	1	255664	0
393397	482842	1	256503	0
391323	483836	1	255784	0
388231	484036	1	255390	0
385208	483879	1	252332	0
382659	483382	1	253773	0
379996	483049	1	256986	0
377672	483017	1	256581	0
375333	481745	1	259115	0
373283	481615	1	255128	0
371302	481653	1	254716	0
369813	481030	1	256959	0
368390	480796	1	257558	0
367064	480781	1	257926	0
365357	480389	1	260422	0
364390	480400	1	253239	0
363215	480174	1	254792	0
362402	479748	1	250533	0
362014	479583	1	250567	0
361896	479077	1	248570	0
361802	478722	1	247639	0
361459	478456	1	244875	0
361165	478165	1	246655	0
360886	477901	1	246481	0
360686	477785	1	250296	0
361021	477703	1	250822	0
361227	477368	1	252048	0
361369	477054	1	254863	0
361523	476728	1	255375	0
361630	477134	1	254862	0
361941	476908	1	257565	0
362181	477335	1	257646	0
362649	477312	1	259855	0
362504	477869	1	258795	0
362902	477787	1	260241	0
362653	477944	1	259196	0
362409	478096	1	263217	0
362418	478178	1	260613	0
362140	478208	1	263680	0
362218	478619	1	265933	0
362082	479171	1	264608	0
362045	479845	1	267598	0
362258	479926	1	269714	0
362489	480179	1	267943	0
362167	480367	1	271871	0
362426	480717	1	268516	0
363822	481201	1	268381	0
365081	481336	1	265954	0
366417	481295	1	264404	0
367976	481177	1	262487	0
369287	481317	1	259737	0
370554	481348	1	257552	0
371613	481096	1	255560	0
372856	481404	1	257035	0
373543	481804	1	257341	0
372676	482697	1	263731	0
371684	483497	1	263120	0
370280	483894	1	263154	0
369157	484747	1	264520	0
367995	484405	1	264982	0
367030	484907	1	265030	0
365680	485211	1	262453	0
